Tallulah;alexander;1.94;26;87;93;29;31
Cynthia;timberlake;1.86;32;24;23;4;99
Sheri;wilson;1.82;48;65;2;97;66
Nan;morris;1.92;42;40;53;31;42
Chrystel;jardine;1.39;54;22;14;69;22
Inez;wickham;2.06;22;42;40;5;11
Tanya;mills;2.13;16;80;47;58;38
Nelie;avery;1.85;78;37;23;60;23
Estel;washington;2.36;2;31;68;46;78
Leeanne;courtney;1.4;39;3;51;66;52
Jere;smalls;1.58;65;70;16;3;11
Ilise;arthurson;1.88;43;3;82;64;20
Melamie;beckett;1.6;81;47;96;93;32
Clotilda;hawkins;1.67;99;69;60;12;65
Klara;brewster;1.35;69;17;71;40;67
Merci;wilkins;2.18;69;79;42;17;35
Hyacinthe;ridley;2.19;34;46;36;73;20
Carissa;walsh;2.26;71;3;39;74;10
Marji;leavitt;2.29;0;13;38;68;13
Pavla;haden;1.81;57;19;11;62;18
Barbra;hawk;1.24;35;67;97;81;79
Marga;leach;1.95;35;90;9;42;42
Sharleen;braddock;1.97;20;13;55;9;76
Cammie;durant;2.4;31;67;65;97;61
Corinne;kirby;1.57;99;55;77;57;35
Nat;barlow;1.55;38;80;52;16;81
Robbyn;ray;1.81;31;53;28;25;73
Jolie;sergeant;1.93;67;10;99;2;23
Bernita;snelling;1.75;69;46;49;29;79
Anthiathia;webster;1.83;27;96;89;9;31
Lark;winslow;1.26;63;38;93;89;4
Lorianna;kemp;1.22;0;46;6;37;6
Shani;berry;1.43;46;11;74;77;78
Chloris;carlisle;1.38;96;24;18;54;0
Lenee;newell;1.32;42;87;75;85;50
Pauline;smedley;1.47;17;3;92;67;38
Zuzana;akerman;1.93;84;43;36;51;8
Ibbie;kidd;1.26;57;98;68;99;98
Wendi;carlyle;1.36;28;81;62;67;6
Darcee;chadwick;2.23;37;87;86;30;25
Netti;warwick;2.19;85;92;34;22;46
Analiese;gibbs;2.36;66;71;29;58;47
Kathleen;heath;1.92;84;1;55;56;86
Bria;london;2.34;49;88;11;55;0
Hendrika;brook;1.67;7;48;68;71;5
Kala;bush;2.25;9;11;39;73;15
Terry;harlow;1.3;95;27;34;53;66
Malina;eaton;2.25;68;40;48;85;72
Deana;carl;1.39;54;4;49;86;17
Brandais;alfredson;1.66;69;92;78;84;93
Jorey;holt;1.66;55;66;61;32;49
Yelena;underhill;1.4;29;81;6;15;46
Caye;porter;1.87;57;42;89;6;16
Laina;benson;1.49;61;61;0;83;40
Doralynn;hancock;1.37;48;85;20;46;69
Louella;wyatt;1.6;88;59;74;23;33
Lenka;harvey;2.12;13;8;7;64;79
Alyssa;fields;2.17;13;70;89;1;99
Alysa;roach;1.22;13;77;38;99;82
Ramonda;ross;1.83;64;29;64;87;27
Lenna;wheeler;2.4;60;36;65;28;47
Saundra;warner;1.24;45;61;68;54;1
Lethia;sutton;2.11;21;28;51;41;12
Dayna;rowe;1.82;24;45;88;8;49
Lexine;courtney;1.22;62;2;59;38;34
Elizabeth;masters;2.08;10;81;81;52;33
Elonore;lacy;2.0;16;63;70;54;73
Floris;hobson;2.32;94;36;6;71;22
Tami;sergeant;1.53;80;7;99;39;33
